model_id,Average,RTFx,Model size (B),earnings21,earnings22,tedlium,coraal_avg,Avg (without CORAAL)
elevenlabs/scribe_v1,5.896666667,-1,,6.35,9.03,2.31,,5.896666667
elevenlabs/scribe_v2,7.315,-1,,6.48,9.99,2.12,10.67,6.196666667
assembly/best,8.2,-1,,9.4,11.82,3.38,,8.2
assembly/universal-3-pro,8.34,-1,,7.62,10.59,2.32,12.83,6.843333333
speechmatics/enhanced,8.8,-1,,7.9,10.75,2.26,14.29,6.97
revai/fusion,9.5375,-1,,7.56,15.47,2.52,12.6,8.516666667
google/chirp_3,9.62,-1,,11.85,14.28,2.73,,9.62
revai/machine,9.6375,-1,,7.63,15.72,2.92,12.28,8.756666667
CohereLabs/cohere-transcribe-03-2026,9.6975,497.98,2,8.77,13.42,2.15,14.45,8.1133
nvidia/parakeet-tdt-0.6b-v3,10.3431,1421.81,0.6,9.82,14.07,2.71,14.7725,8.8667
openai/whisper-large-v3-turbo,10.6519,364.22,0.8,9.65,12.99,3.16,16.8075,8.6
nvidia/parakeet-tdt-0.6b-v2,10.8672,1455.82,0.6,10.63,13.13,3,16.7088,8.92
openai/whisper-large-v3,10.8922,146.44,2,9.57,12.91,3.14,17.9488,8.54
nvidia/canary-qwen-2.5b,10.9284,664.83,2.5,10.12,12.3,3.85,17.4438,8.7567
distil-whisper/distil-large-v3.5,11.3837,402.65,0.8,10.5,13.82,4.57,16.645,9.63
distil-whisper/distil-large-v3,11.7784,402.38,0.8,10.39,14.72,3.79,18.2138,9.6333
openai/whisper-large,11.9803,143.06,2,10.43,13.47,3.44,20.5813,9.1133
openai/whisper-large-v2,12.2953,134.43,2,10.7,13.76,3.21,21.5113,9.2233
nvidia/parakeet-ctc-1.1b,12.6391,5259.14,1.1,10.02,14.31,3.18,23.0463,9.17
google/chirp,13.045,-1,2,14.29,14.81,5.52,17.56,11.54
nvidia/parakeet-ctc-0.6b,13.2406,6538.42,0.6,10.53,14.64,3.25,24.5425,9.4733
nvidia/stt_en_conformer_ctc_large,13.8547,442.68,0.12,11.52,16.85,3.52,23.5287,10.63
nvidia/parakeet-rnnt-0.6b,14.1278,1251.11,0.6,10.83,13.87,3.13,28.6812,9.2767
nvidia/parakeet-tdt-1.1b,15.2716,1561.47,1.1,11.08,14.53,3.8,31.6762,9.8033
nvidia/parakeet-rnnt-1.1b,16.6178,1177.34,1.1,12.15,14.85,4.15,35.3212,10.3833
nvidia/stt_en_conformer_transducer_small,17.2387,946.51,0.014,14.64,20.31,5.41,28.595,13.4533
distil-whisper/distil-large-v2,17.6503,183.28,0.8,14.99,18.81,11.15,25.6513,14.9833
nvidia/stt_en_conformer_ctc_small,18.18,6205.08,0.013,15.91,22.56,6.03,28.22,14.8333
nvidia/stt_en_fastconformer_ctc_large,20.8959,6678.12,0.115,16.34,23.61,5.04,38.5938,14.9967
nvidia/stt_en_conformer_transducer_large,21.2966,310.36,0.12,16.58,22.99,5.01,40.6062,14.86
nvidia/stt_en_fastconformer_transducer_large,21.8469,1445.93,0.114,17.51,24.65,5.1,40.1275,15.7533
distil-whisper/distil-medium.en,22.9253,224.17,0.4,19.36,24.47,14.52,33.3513,19.45
