model,Avg. WER,RTFx,Model size (B),License,AMI WER,Earnings22 WER,Gigaspeech WER,LS Clean WER,LS Other WER,SPGISpeech WER,Tedlium WER,Voxpopuli WER
CohereLabs/cohere-transcribe-03-2026,5.42,524.88,2,Open,8.13,10.86,9.34,1.25,2.37,3.08,2.49,5.87
zoom/scribe_v1,5.47,-1,-1,Proprietary,10.03,9.53,9.61,1.63,2.81,1.59,3.22,5.37
ibm-granite/granite-4.0-1b-speech,5.52,280.02,2,Open,8.44,8.48,10.14,1.42,2.85,3.89,3.1,5.84
nvidia/canary-qwen-2.5b,5.63,418.28,2.5,Open,10.19,10.45,9.43,1.61,3.1,1.9,2.71,5.66
ibm-granite/granite-speech-3.3-8b,5.74,145.42,9,Open,8.98,9.42,10.19,1.43,2.86,3.91,3.4,5.72
Qwen/Qwen3-ASR-1.7B,5.76,147.93,1.7,Open,10.56,10.25,8.74,1.63,3.4,2.84,2.28,6.35
elevenlabs/scribe_v2,5.83,-1,-1,Proprietary,11.86,9.43,9.11,1.54,2.83,2.68,2.37,6.8
ibm-granite/granite-speech-3.3-2b,6,270.57,3,Open,8.9,10.25,10.69,1.53,3.26,3.87,3.57,5.93
microsoft/Phi-4-multimodal-instruct,6.02,151.1,6,Open,11.09,10.16,9.33,1.69,3.82,3.06,2.94,6.04
nvidia/parakeet-tdt-0.6b-v2,6.05,3386.02,0.6,Open,11.16,11.15,9.74,1.69,3.19,2.17,3.38,5.95
assemblyai/universal-3-pro,6.21,-1,-1,Proprietary,13.85,10.9,9.14,1.53,2.7,1.68,3.01,6.83
aquavoice/avalon-v1-en,6.24,-1,-1,Proprietary,11.58,11.37,9.52,1.68,3.28,2.1,3.02,7.33
nvidia/parakeet-tdt-0.6b-v3,6.32,3332.74,0.6,Open,11.39,11.19,9.57,1.92,3.59,3.98,2.8,6.09
nvidia/canary-1b-flash,6.35,1045.75,1,Open,13.11,12.77,9.85,1.48,2.87,1.95,3.12,5.63
kyutai/stt-2.6b-en,6.4,88.37,2.6,Open,12.17,10.99,9.81,1.7,4.32,2.03,3.35,6.79
google/chirp_2,6.42,-1,-1,Proprietary,8.91,12.67,9.8,2.29,5.06,2.4,3.23,7.03
Qwen/Qwen3-ASR-0.6B,6.42,166.23,0.6,Open,11.66,11.06,9.14,2.13,4.45,3.03,2.85,7.07
nvidia/canary-1b,6.50375,235.3432794,1,Open,13.9,12.19,10.12,1.48,2.93,2.06,3.56,5.79
mistralai/Voxtral-Small-24B-2507,6.62,54.09,24,Open,15.27,10.5,9.81,1.59,3.26,2.02,3.52,6.96
google/chirp_3,6.63,-1,-1,Proprietary,11.8,10.58,9.67,2.04,4.58,3.98,2.86,7.52
usefulsensors/moonshine-streaming-medium,6.66,448.15,0.245,Open,10.68,11.92,9.46,2.09,5,2.58,2.98,8.54
nyrahealth/CrisperWhisper,6.67,84.05,2,Open,8.71,12.89,10.24,1.82,4,2.7,3.2,9.82
elevenlabs/scribe_v1,6.88,-1,-1,Proprietary,14.43,12.14,9.66,1.79,3.31,3.3,3.17,7.2
speechmatics/enhanced,6.91,-1,-1,Proprietary,14.47,12.26,9.5,2.1,4.6,3.06,2.54,6.71
nvidia/parakeet-tdt-1.1b,7.015,2390.611822,1.1,Open,15.87,14.49,9.52,1.4,2.6,3.16,3.59,5.49
zai-org/GLM-ASR-Nano-2512,7.03,145.28,2,Open,16.15,11.08,9.73,2.15,4.42,2.08,3.1,7.54
mistralai/Voxtral-Mini-3B-2507,7.05,109.86,5,Open,16.3,10.69,10.24,1.88,4.1,2.37,3.68,7.14
nvidia/canary-180m-flash,7.12,1233.58,0.182,Open,14.86,12.33,10.51,1.73,4.35,2.26,3.13,6.35
revai/fusion,7.12,-1,-1,Proprietary,10.93,12.09,9.41,2.88,6.23,4.05,2.8,8.53
nvidia/parakeet-rnnt-1.1b,7.12375,2053.14697,1.1,Open,17.01,13.94,9.89,1.45,2.5,2.93,3.83,5.44
nvidia/canary-1b-v2,7.15,749,1,Open,16.01,11.79,10.82,2.18,3.56,2.28,4.29,6.25
distil-whisper/distil-large-v3.5,7.21,202.03,0.8,Open,14.63,11.29,9.84,2.37,5.04,2.87,3.64,8.04
efficient-speech/lite-whisper-large-v3-acc,7.23,117.8,1,Open,16.1,11.04,10.1,2,3.91,2.89,3.71,8.11
nvidia/parakeet-ctc-1.1b,7.39875,2728.522295,1.1,Open,15.67,13.75,10.28,1.83,3.51,4.02,3.57,6.56
espnet/owsm_ctc_v4_1B,7.42,453.97,1,Open,13.1,13.66,10.83,2.59,4.89,2.55,4.43,7.35
efficient-speech/lite-whisper-large-v3,7.43,115.83,1,Open,16.9,11.55,10.26,2.1,4.4,2.85,3.73,7.67
openai/whisper-large-v3,7.44,145.5096549,2,Open,15.95,11.29,10.02,2.01,3.91,2.94,3.86,9.54
nvidia/parakeet-tdt_ctc-110m,7.49,5345.14,0.11,Open,15.89,12.37,10.52,2.4,5.22,2.54,4.07,6.9
nvidia/parakeet-rnnt-0.6b,7.495,2815.724575,0.6,Open,17.4,14.66,10.01,1.62,3.02,3.32,3.85,6.08
distil-whisper/distil-large-v3,7.5175,214.4214313,0.8,Open,15.16,11.79,10.08,2.54,5.19,3.27,3.86,8.25
mistralai/Voxtral-Mini-4B-Realtime-2602,7.68,93.32,4,Open,17.07,11.84,10.38,2.08,5.52,2.42,3.79,8.34
nvidia/parakeet-ctc-0.6b,7.69,4281.529811,0.6,Open,16.46,14.26,10.39,1.88,3.8,3.89,3.77,7.07
microsoft/VibeVoice-ASR-HF,7.77,51.8,8,Open,17.2,13.17,9.67,2.2,5.51,3.8,2.57,8.01
efficient-speech/lite-whisper-large-v3-turbo-acc,7.77,191.71,0.7,Open,16.97,11.53,10.21,2.15,4.6,2.93,3.6,8.17
openai/whisper-large-v3-turbo,7.83,200.19,0.8,Open,16.13,11.63,10.14,2.1,4.24,2.97,3.57,11.87
openai/whisper-large-v2,7.835,144.4521022,2,Open,16.74,12.05,10.67,2.83,5.14,3.87,3.9,7.48
usefulsensors/moonshine-streaming-small,7.84,566.33,0.123,Open,12.53,13.55,10.4,2.49,6.78,3.19,3.77,9.98
distil-whisper/distil-large-v2,7.92125,202.9464411,0.8,Open,14.67,12.19,10.32,2.94,6.84,3.3,4.87,8.24
openai/whisper-large,7.9425,143.7563188,2,Open,16.73,12.91,10.76,2.73,5.54,3.2,3.91,7.76
revai/machine,7.95,-1,-1,Proprietary,10.99,12.69,9.78,4.44,8.86,4.17,3.12,9.57
openai/whisper-medium.en,8.09,182.1291601,0.8,Open,16.68,12.63,11.03,3.02,5.85,3.33,4.12,8.06
espnet/owsm_ctc_v3.1_1B,8.12,502.02,1.1,Open,15.61,13.74,11.88,2.35,5.15,2.87,4.92,8.4
facebook/omniASR-LLM-7B-v2,8.14,65.97,7.801041536,Open,20.73,13.48,11.15,1.66,3.64,3.65,4.09,6.69
efficient-speech/lite-whisper-large-v3-fast,8.16,120.76,1,Open,19.87,12.48,10.66,2.25,5.19,3.15,3.92,7.79
espnet/owsm_ctc_v3.2_ft_1B,8.25,339.4,1,Open,16.64,13.65,11.79,2.63,5.29,2.73,5.29,8.02
google/chirp,8.29,-1,2,Proprietary,15.9,13.25,10.31,3.53,6.38,4.23,3.81,8.92
nvidia/stt_en_conformer_ctc_large,8.31875,4295.006653,0.12,Open,15.95,15.99,11.6,2.05,4.15,5.57,4.41,6.83
speechbrain/asr-conformer-largescaleasr,8.48,42.16,0.48,Open,19.6,14.71,11.36,1.95,4.24,4.11,4.98,6.89
ultravox/fixie-ai-ultravox-v0_6-llama-3_1-8b,8.52,6.22,0.7,Open,21.53,15.35,9.82,2.11,4.35,3.63,3.12,8.24
distil-whisper/distil-small.en,8.5675,331.8934863,0.2,Open,16.16,13.15,10.87,3.48,7.73,3.82,4.54,8.79
openai/whisper-small.en,8.59,268.9148739,0.2,Open,17.93,12.97,11.35,3.05,7.25,3.6,4.07,8.5
distil-whisper/distil-medium.en,8.765,279.7331043,0.4,Open,16.12,12.99,11.3,3.69,8.35,3.83,4.84,9
nvidia/stt_en_fastconformer_ctc_large,8.965,6399.25031,0.115,Open,18.61,18.81,12.17,1.93,4.04,5.06,4.76,6.34
nvidia/stt_en_fastconformer_transducer_large,9.0575,4097.432343,0.114,Open,19.09,19.41,12.31,1.8,3.97,4.97,4.46,6.45
usefulsensors/moonshine-base,9.99,565.97,0.0615,Open,17.49,16.85,12.08,3.38,8.15,5.46,5.65,10.84
nvidia/stt_en_conformer_transducer_small,10.2575,3714.361304,0.014,Open,20.28,18.13,13.7,2.77,6.47,6.63,6.21,7.87
openai/whisper-base.en,10.3175,320.6738853,0.0726,Open,21.13,15.09,12.83,4.25,10.35,4.26,4.87,9.76
abr-ai/asr-19m-v2-en-32b,10.61,2862.63,0.019,Open,18.76,13.53,15.44,4.66,11.16,3.94,7.53,9.88
facebook/omniASR-CTC-7B-v2,10.65,267.43,6.504786132,Open,23.86,17.11,15.37,2.56,5.6,6.07,6.27,8.39
nvidia/stt_en_conformer_ctc_small,11.15875,5686.896503,0.013,Open,20.43,18.84,14.46,3.59,7.92,7.8,7.16,9.07
usefulsensors/moonshine-streaming-tiny,12,847.2,0.034,Open,19.02,20.19,13.9,4.5,12.1,6.16,6.1,14.02
usefulsensors/moonshine-tiny,12.65,753.06,0.0271,Open,22.84,20.73,14.21,4.55,11.68,7.43,5.69,14.11
openai/whisper-tiny.en,12.80625,348.1239348,0.0378,Open,24.24,19.12,14.08,5.66,15.45,5.93,5.97,12
