model,Model size (B),RTFx,de_covost,de_fleurs,fr_covost,fr_mls,fr_fleurs,it_covost,it_mls,it_fleurs,es_covost,es_mls,es_fleurs,pt_mls,pt_fleurs,Avg
elevenlabs/scribe_v2,,-1,2.24,2.3,4.45,2.54,2.86,2.22,4.57,0.94,2.51,2.56,1.91,3.02,2.63,2.673076923
assembly/universal-3-pro,,-1,2.37,2.32,5.99,2.3,2.93,3.53,6.98,1.3,2.44,2.49,2.09,4.24,3.03,3.231538462
mistralai/Voxtral-Small-24B-2507,24.3,42.04,3.43,2.59,5.6,3.22,3.57,3.33,6.09,2.31,3.02,3.23,2.86,5.06,3.75,3.696923077
CohereLabs/cohere-transcribe-03-2026,2,491.36,3.53,4.16,4.96,2.39,4.8,2.65,4.92,2.76,2.68,2.31,3.44,6.62,4.58,3.83
speechmatics/enhanced,,-1,1.99,3.69,5.99,4.78,4.36,4.04,10.01,2.68,2.07,3.64,2.62,5.18,4.77,4.293846154
facebook/omniASR-LLM-7B-v2,7.801041536,21.23,5.38,3.73,7.39,3.3,5.33,4.22,4.77,2.27,4.1,3.26,2.96,6.21,4.15,4.39
microsoft/Phi-4-multimodal-instruct,6,78.17,4.14,3.77,6.93,4.28,4.39,3.29,7.2,1.95,4.01,3.98,3.13,6.88,3.35,4.407692308
nvidia/canary-1b-v2,1,634.37,4.73,3.47,6.62,3.44,4.43,4.56,7.72,2.37,3.96,3.15,2.63,8.52,4.14,4.595384615
facebook/omniASR-LLM-7B,7.801041536,21.82,5.13,4.04,7.51,3.24,5.64,4.21,4.82,2.38,4.36,3.65,3.19,8.15,4.57,4.683846154
openai/whisper-large-v3,2,110.92,5.25,3.27,10.18,3.92,4.98,5.31,6.5,2.26,4.47,4.16,2.31,6.39,3.53,4.81
nvidia/parakeet-tdt-0.6b-v3,0.6,1719.32,4.13,4.26,6.38,5.12,4.76,3.42,8.54,2.46,3.55,4.41,3.24,7.78,4.53,4.813846154
mistralai/Voxtral-Mini-3B-2507,4.7,110.57,5.78,3.82,8.07,5,4.33,5.79,8.07,2.25,4.31,4.97,3.47,6.71,3.76,5.102307692
Qwen/Qwen3-ASR-1.7B,1.7,112.77,4.92,3.33,7.97,5.09,4.17,4.72,9.83,2.28,4.13,4.48,3,8.55,4.02,5.114615385
openai/whisper-large-v3-turbo,0.8,176.16,8.64,3.78,11.4,4.27,5.04,6.84,6.63,3.28,6.35,3.96,2.7,5.55,3.8,5.556923077
facebook/omniASR-CTC-7B-v2,6.504786132,154.7,7.14,4.96,10.23,4.99,7.66,5.76,5.16,3.44,5.67,3.85,3.94,7.64,5.5,5.841538462
facebook/omniASR-LLM-3B-v2,4.37667904,22.81,7.25,4.84,10.57,4.36,6.9,7.36,5.75,3.27,5.49,3.56,3.42,9.38,5.07,5.94
facebook/omniASR-LLM-1B-v2,2.275710592,23.95,7.36,7.17,9.52,4.48,7.37,6.23,5.92,3.52,5.3,3.97,3.83,9.13,5.36,6.089230769
facebook/omniASR-CTC-3B-v2,3.080423636,296.57,7.42,5.13,10.96,5.26,8.78,6.47,5.7,3.42,5.91,3.82,4.04,7.64,5.6,6.165384615
facebook/omniASR-CTC-7B,6.504786132,154.59,6.09,5.33,9.11,4.5,8.94,5.13,5.67,4.06,5.27,3.73,5.48,9.15,7.85,6.177692308
facebook/omniASR-LLM-3B,4.37667904,23.24,6.07,5.75,8.27,4.33,8.67,4.91,5.34,4.01,5.04,4.05,5.26,11.76,7.88,6.256923077
mistralai/Voxtral-Mini-4B-Realtime-2602,4.37,28.2,8.08,5.04,9.68,5.64,8.44,6.37,10.46,3.07,5.09,4.9,2.82,8.01,4.58,6.321538462
facebook/omniASR-LLM-1B,2.275710592,23.91,6.66,6.11,9.03,4.64,9.42,5.6,5.48,4.28,5.46,5.17,5.74,10.66,8.46,6.67
facebook/omniASR-CTC-3B,3.080423636,293.82,7.6,6.14,11,5.57,10.17,6.64,6.15,4.62,6.2,4,6.19,8.91,8.46,7.05
facebook/omniASR-CTC-1B-v2,0.9750653,566.82,9.81,7.44,13.45,6.96,10.79,8.29,6.55,4.98,7.47,4.2,5.32,11.05,7.22,7.963846154
Qwen/Qwen3-ASR-0.6B,0.6,122.18,8.43,5.49,10.85,8.52,7.07,9.19,14.8,4.57,6.56,6.98,4.46,14.05,6.12,8.237692308
facebook/omniASR-LLM-300M-v2,1.627603584,24.45,11.83,8.07,12.74,6.86,11.24,9.25,7.22,5.47,7.57,4.73,5.3,11.49,7.73,8.423076923
facebook/omniASR-CTC-1B,0.9750653,562.18,9.49,8.05,13.2,7,12.13,8.15,8.35,5.77,7.58,4.6,7.02,12.2,9.58,8.701538462
facebook/omniASR-LLM-300M,1.627603584,24.42,10.73,9.16,12.06,7.11,13.5,8.52,7.44,6.33,8.12,5.36,7.63,12.59,11.75,9.253846154
facebook/omniASR-CTC-300M-v2,0.325494996,967.41,19.46,14.59,22.21,12.97,21.35,15.66,10.73,9.58,13.69,7.27,9.53,15.75,13.68,14.34384615
facebook/omniASR-CTC-300M,0.325494996,954.59,18.99,14.94,21.92,12.97,22.62,15.5,10.84,10.15,14,7.35,11.19,17.27,16.33,14.92846154
